loc,specific,lat,lon,date,species,full_id,treatment,pae_ugL,phase,n,colony_a,a_collect_time,colony_b,b_collect_time,combo_time,vial_id,egg_count,phase_time,phase_count,percent_response,2cell,4cell,morecell,respiration,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,low-planula-3,low,0.5,planula,3,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,lp3,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,low-settle-3,low,0.5,settle,3,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,ls3,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/28/2022,m-capitata,mid-cleave-2,mid,5,cleave,2,wild,6/28/2022 22:00,wild,6/28/2022 22:00,6/28/2022 22:10,mc2,28,6/29/2022 3:45,9,32.14285714,5,4,0,na,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,mid-planula-3,mid,5,planula,3,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,mp3,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,mid-settle-3,mid,5,settle,3,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,ms3,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,mid-cleave-3,mid,5,cleave,3,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,mc3,27,6/30/2022 4:14,1,3.703703704,1,0,0,na,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,peak-planula-3,peak,150,planula,3,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,pp3,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,peak-settle-3,peak,150,settle,3,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,ps3,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,mid-cleave-4,mid,5,cleave,4,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,mc4,21,6/30/2022 4:53,0,0,0,0,0,na,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,control-planula-4,control,0,planula,4,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,cp4,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/29/2022,m-capitata,control-settle-4,control,0,settle,4,wild,6/29/2022 21:30,wild,6/29/2022 21:30,6/29/2022 22:05,cs4,,,,,,,,,
HIMB,night-shuttle-dock,21.431872,-157.788674,6/28/2022,m-capitata,peak-cleave-1,peak,150,cleave,1,1,6/28/2022 21:05,2,6/28/2022 21:30,6/28/2022 21:50,pc1,28,6/29/2022 4:05,0,0,0,0,0,na,
